metric,value,denominator,population,arm,source_artifact,ci95,status,note
KCs in data-mining corpus,159,-,data-mining,all,ablation_rows.jsonl,,SUPPORTED,
"evaluation rows, ablation",1113,159 KC x 7 arms,data-mining,all,ablation_rows.jsonl,,SUPPORTED,
"evaluation rows, crossed",1137,379 KC x 3 drafters,3 domains,all,crossed_rows.jsonl,,SUPPORTED,
KCs scored by reference metrics,151,of 159,data-mining,all,v2_nuggets.jsonl,,SUPPORTED,7 KCs have no reference body; 1 decomposition failure (KC_CLF_NB_009)
KCs with a reference body,152,of 159,data-mining,-,reference library,,SUPPORTED,
expert review_action: accepted unchanged,117,of 159,data-mining seed arm,intrinsic_P-Q,expert_adjudicated_reference_kc_library.jsonl,,SUPPORTED,
expert review_action: minor edit,10,of 159,data-mining seed arm,intrinsic_P-Q,expert_adjudicated_reference_kc_library.jsonl,,SUPPORTED,
expert review_action: major edit,15,of 159,data-mining seed arm,intrinsic_P-Q,expert_adjudicated_reference_kc_library.jsonl,,SUPPORTED,
expert review_action: replaced,10,of 159,data-mining seed arm,intrinsic_P-Q,expert_adjudicated_reference_kc_library.jsonl,,SUPPORTED,
expert review_action: no corpus support,7,of 159,data-mining seed arm,intrinsic_P-Q,expert_adjudicated_reference_kc_library.jsonl,,SUPPORTED,
human review burden: accept or minor edit,79.9,% of 159,data-mining seed arm,intrinsic_P-Q,reference library,,SUPPORTED,NOT a cross-model accuracy figure; seed arm only
nuggets extracted,1185,over 151 KCs,data-mining,-,v2_nuggets.jsonl,,SUPPORTED_pending_NUGGET_VALIDATION,
VITAL nuggets,475,of 1185,data-mining,-,v2_nuggets.jsonl,,SUPPORTED_pending_NUGGET_VALIDATION,
pooled relevance judgements,8246,"top-20 union, 4 configs",data-mining,pool,v3_pooled_relevance.jsonl,,SUPPORTED,AUTOMATED labels produced by the frozen Selene judge; NOT human qrels
pooled label: NOT_RELEVANT,3990,of 8246,data-mining,pool,v3_pooled_relevance.jsonl,,SUPPORTED,
pooled label: DEFINITIONAL,1751,of 8246,data-mining,pool,v3_pooled_relevance.jsonl,,SUPPORTED,
pooled label: RELATED,2505,of 8246,data-mining,pool,v3_pooled_relevance.jsonl,,SUPPORTED,
P@5 paired difference: Proposed vs DOS-RAG,0.1117,154 KCs,data-mining,Proposed vs DOS-RAG,retrieval_paired_ci.json,"[0.0519, 0.1714]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
nDCG@5 paired difference: Proposed vs DOS-RAG,0.2049,154 KCs,data-mining,Proposed vs DOS-RAG,retrieval_paired_ci.json,"[0.147, 0.2618]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
P@10 paired difference: Proposed vs DOS-RAG,-0.0006,154 KCs,data-mining,Proposed vs DOS-RAG,retrieval_paired_ci.json,"[-0.05, 0.0481]",NO_SEPARATION,"automated pooled qrels; concept-clustered bootstrap B=10,000"
R@10 paired difference: Proposed vs DOS-RAG,0.0019,154 KCs,data-mining,Proposed vs DOS-RAG,retrieval_paired_ci.json,"[-0.0245, 0.028]",NO_SEPARATION,"automated pooled qrels; concept-clustered bootstrap B=10,000"
nDCG@10 paired difference: Proposed vs DOS-RAG,0.1141,154 KCs,data-mining,Proposed vs DOS-RAG,retrieval_paired_ci.json,"[0.0659, 0.1604]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
R@20 paired difference: Proposed vs DOS-RAG,-0.1332,154 KCs,data-mining,Proposed vs DOS-RAG,retrieval_paired_ci.json,"[-0.1848, -0.0823]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
P@5 paired difference: Proposed vs BaseDense,0.313,154 KCs,data-mining,Proposed vs BaseDense,retrieval_paired_ci.json,"[0.2532, 0.3701]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
nDCG@5 paired difference: Proposed vs BaseDense,0.314,154 KCs,data-mining,Proposed vs BaseDense,retrieval_paired_ci.json,"[0.2616, 0.3661]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
P@10 paired difference: Proposed vs BaseDense,0.2545,154 KCs,data-mining,Proposed vs BaseDense,retrieval_paired_ci.json,"[0.2058, 0.3045]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
R@10 paired difference: Proposed vs BaseDense,0.0988,154 KCs,data-mining,Proposed vs BaseDense,retrieval_paired_ci.json,"[0.0709, 0.1264]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
nDCG@10 paired difference: Proposed vs BaseDense,0.2799,154 KCs,data-mining,Proposed vs BaseDense,retrieval_paired_ci.json,"[0.2363, 0.3229]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
R@20 paired difference: Proposed vs BaseDense,0.0941,154 KCs,data-mining,Proposed vs BaseDense,retrieval_paired_ci.json,"[0.0527, 0.1364]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
P@5 paired difference: DOS-RAG vs BaseDense,0.1987,156 KCs,data-mining,DOS-RAG vs BaseDense,retrieval_paired_ci.json,"[0.1385, 0.2564]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
nDCG@5 paired difference: DOS-RAG vs BaseDense,0.1078,156 KCs,data-mining,DOS-RAG vs BaseDense,retrieval_paired_ci.json,"[0.057, 0.1583]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
P@10 paired difference: DOS-RAG vs BaseDense,0.2558,156 KCs,data-mining,DOS-RAG vs BaseDense,retrieval_paired_ci.json,"[0.2109, 0.3]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
R@10 paired difference: DOS-RAG vs BaseDense,0.1027,156 KCs,data-mining,DOS-RAG vs BaseDense,retrieval_paired_ci.json,"[0.0792, 0.1267]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
nDCG@10 paired difference: DOS-RAG vs BaseDense,0.1674,156 KCs,data-mining,DOS-RAG vs BaseDense,retrieval_paired_ci.json,"[0.1257, 0.2092]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
R@20 paired difference: DOS-RAG vs BaseDense,0.2372,156 KCs,data-mining,DOS-RAG vs BaseDense,retrieval_paired_ci.json,"[0.1948, 0.2787]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
P@5 paired difference: DOS-RAG vs DOS-RAG budget-matched,-0.0566,152 KCs,data-mining,DOS-RAG vs DOS-RAG budget-matched,retrieval_paired_ci.json,"[-0.1145, -0.0013]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
nDCG@5 paired difference: DOS-RAG vs DOS-RAG budget-matched,-0.1178,152 KCs,data-mining,DOS-RAG vs DOS-RAG budget-matched,retrieval_paired_ci.json,"[-0.1642, -0.0714]",SUPPORTED_WITH_SCOPE,"automated pooled qrels; concept-clustered bootstrap B=10,000"
